train_loss,step,epoch,val_qa_answer_f1,val_loss,val_qa_sas,val_qa_bert_score,val_qa_em,test_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas
1.34312903881073,9,0,,,,,,,,,,
2.6975314617156982,19,0,,,,,,,,,,
1.6001074314117432,29,0,,,,,,,,,,
2.1842572689056396,39,0,,,,,,,,,,
,48,0,0.5125296115875244,1.9380043745040894,0.5314499735832214,0.8410206437110901,0.32057416439056396,,,,,
0.9422609806060791,49,1,,,,,,,,,,
1.2820408344268799,59,1,,,,,,,,,,
1.3400975465774536,69,1,,,,,,,,,,
2.040940523147583,79,1,,,,,,,,,,
1.1287791728973389,89,1,,,,,,,,,,
,97,1,0.5379188656806946,1.751517415046692,0.6161586046218872,0.8765361905097961,0.3684210479259491,,,,,
1.7027086019515991,99,2,,,,,,,,,,
0.5405991077423096,109,2,,,,,,,,,,
1.3529939651489258,119,2,,,,,,,,,,
1.247758388519287,129,2,,,,,,,,,,
5.855640888214111,139,2,,,,,,,,,,
,146,2,0.5539113283157349,1.6747804880142212,0.5703381299972534,0.8546671271324158,0.38755980134010315,,,,,
2.056732177734375,149,3,,,,,,,,,,
1.3365538120269775,159,3,,,,,,,,,,
0.9030667543411255,169,3,,,,,,,,,,
0.8385850787162781,179,3,,,,,,,,,,
0.6804190278053284,189,3,,,,,,,,,,
,195,3,0.5637996792793274,1.6314442157745361,0.6414271593093872,0.8822522759437561,0.4066985547542572,,,,,
1.3175326585769653,199,4,,,,,,,,,,
0.9305428862571716,209,4,,,,,,,,,,
0.871931254863739,219,4,,,,,,,,,,
1.5635815858840942,229,4,,,,,,,,,,
0.6070376038551331,239,4,,,,,,,,,,
,244,4,0.5650755763053894,1.5991309881210327,0.6388636827468872,0.8826264142990112,0.4066985547542572,,,,,
,245,5,,,,,,1.5991309881210327,0.8826264142990112,0.4066985547542572,0.5650755763053894,0.6388636827468872
