step,train_loss,epoch,val_qa_bert_score,val_loss,val_qa_sas,val_qa_em,val_qa_answer_f1,test_loss
9,1.314464807510376,0,,,,,,
19,0.5260641574859619,0,,,,,,
29,0.7130317687988281,0,,,,,,
39,0.2471698671579361,0,,,,,,
49,0.4846153259277344,0,,,,,,
59,0.28123271465301514,0,,,,,,
69,0.5163795351982117,0,,,,,,
79,0.2677018344402313,0,,,,,,
80,,0,0.7907862663269043,0.09866522252559662,0.3396191895008087,0.21666666865348816,0.2914229929447174,
89,0.19215115904808044,1,,,,,,
99,0.2997637987136841,1,,,,,,
109,0.21591052412986755,1,,,,,,
119,0.28825971484184265,1,,,,,,
129,0.26302066445350647,1,,,,,,
139,0.3378163278102875,1,,,,,,
149,0.14147698879241943,1,,,,,,
159,0.3154638111591339,1,,,,,,
161,,1,0.7962877750396729,0.0842386931180954,0.3138029873371124,0.24444444477558136,0.31139931082725525,
169,0.09768428653478622,2,,,,,,
179,0.11006546765565872,2,,,,,,
189,0.21732954680919647,2,,,,,,
199,0.11020128428936005,2,,,,,,
209,0.16043439507484436,2,,,,,,
219,0.11319678276777267,2,,,,,,
229,0.16004569828510284,2,,,,,,
239,0.1366228312253952,2,,,,,,
242,,2,0.8078284859657288,0.07709316164255142,0.3431525230407715,0.28333333134651184,0.34826523065567017,
249,0.10234112292528152,3,,,,,,
259,0.07102270424365997,3,,,,,,
269,0.14836569130420685,3,,,,,,
279,0.087732695043087,3,,,,,,
289,0.12883047759532928,3,,,,,,
299,0.11183463782072067,3,,,,,,
309,0.1152106523513794,3,,,,,,
319,0.09526970982551575,3,,,,,,
323,,3,0.8156187534332275,0.07635816931724548,0.36027035117149353,0.32777777314186096,0.38248664140701294,
329,0.0735442042350769,4,,,,,,
339,0.09805123507976532,4,,,,,,
349,0.0653623640537262,4,,,,,,
359,0.0424017459154129,4,,,,,,
369,0.0773889347910881,4,,,,,,
379,0.1013522520661354,4,,,,,,
389,0.07397188991308212,4,,,,,,
399,0.10730461031198502,4,,,,,,
404,,4,0.8278331160545349,0.07886595278978348,0.39687564969062805,0.3444444537162781,0.41717225313186646,
405,,5,,,,,,0.07886595278978348
