train_loss,step,epoch,val_qa_sas,val_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_em,test_avg_qa_sas,test_avg_qa_em,test_loss,test_avg_qa_bert_score,test_avg_qa_answer_f1
2.188875913619995,9,0,,,,,,,,,,
1.6863096952438354,19,0,,,,,,,,,,
1.8931324481964111,29,0,,,,,,,,,,
1.405957579612732,39,0,,,,,,,,,,
1.2823457717895508,49,0,,,,,,,,,,
,51,0,0.5684244632720947,1.5316786766052246,0.8537638187408447,0.514006495475769,0.32300883531570435,,,,,
1.7657135725021362,59,1,,,,,,,,,,
1.9944641590118408,69,1,,,,,,,,,,
1.2865098714828491,79,1,,,,,,,,,,
1.2787336111068726,89,1,,,,,,,,,,
1.4264905452728271,99,1,,,,,,,,,,
,103,1,0.5637532472610474,1.3807077407836914,0.855978786945343,0.5246322751045227,0.36725664138793945,,,,,
1.9440586566925049,109,2,,,,,,,,,,
1.4117788076400757,119,2,,,,,,,,,,
1.029178500175476,129,2,,,,,,,,,,
1.6730000972747803,139,2,,,,,,,,,,
0.9269952178001404,149,2,,,,,,,,,,
,155,2,0.567431628704071,1.3285746574401855,0.8575448989868164,0.5244081616401672,0.3539822995662689,,,,,
1.8291435241699219,159,3,,,,,,,,,,
1.378637671470642,169,3,,,,,,,,,,
0.712166965007782,179,3,,,,,,,,,,
0.6662105321884155,189,3,,,,,,,,,,
0.8418785929679871,199,3,,,,,,,,,,
,207,3,0.5311375856399536,1.3085522651672363,0.8520052433013916,0.5095915794372559,0.3539822995662689,,,,,
1.2577478885650635,209,4,,,,,,,,,,
0.6531342267990112,219,4,,,,,,,,,,
1.6853910684585571,229,4,,,,,,,,,,
0.9796069264411926,239,4,,,,,,,,,,
0.507933497428894,249,4,,,,,,,,,,
1.9011577367782593,259,4,,,,,,,,,,
,259,4,0.5654947757720947,1.27881920337677,0.8583202362060547,0.5246112942695618,0.38053098320961,,,,,
,260,5,,,,,,0.5654947757720947,0.38053098320961,1.27881920337677,0.8583202362060547,0.5246112942695618
