train_loss,epoch,step,val_qa_bert_score,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_bert_score,test_loss
0.93133145570755,0,9,,,,,,,,,,
1.2335295677185059,0,19,,,,,,,,,,
1.4923831224441528,0,29,,,,,,,,,,
1.0681639909744263,0,39,,,,,,,,,,
1.1585296392440796,0,49,,,,,,,,,,
,0,51,0.8402866125106812,0.4222049117088318,1.2359596490859985,0.1627907007932663,0.5447126030921936,,,,,
1.0367621183395386,1,59,,,,,,,,,,
1.115655779838562,1,69,,,,,,,,,,
1.2277921438217163,1,79,,,,,,,,,,
1.3495830297470093,1,89,,,,,,,,,,
2.574057102203369,1,99,,,,,,,,,,
,1,103,0.8414852023124695,0.4292527735233307,1.1813881397247314,0.16744185984134674,0.5546351671218872,,,,,
1.5786716938018799,2,109,,,,,,,,,,
1.4550141096115112,2,119,,,,,,,,,,
1.0082995891571045,2,129,,,,,,,,,,
1.3652664422988892,2,139,,,,,,,,,,
1.2076919078826904,2,149,,,,,,,,,,
,2,155,0.8416057825088501,0.43436989188194275,1.1578298807144165,0.1860465109348297,0.5616978406906128,,,,,
1.226798176765442,3,159,,,,,,,,,,
1.0791469812393188,3,169,,,,,,,,,,
0.8127369284629822,3,179,,,,,,,,,,
1.0902202129364014,3,189,,,,,,,,,,
1.0996990203857422,3,199,,,,,,,,,,
,3,207,0.8458632230758667,0.4510543942451477,1.1306037902832031,0.1860465109348297,0.5774797797203064,,,,,
1.0706180334091187,4,209,,,,,,,,,,
1.3541147708892822,4,219,,,,,,,,,,
1.0878962278366089,4,229,,,,,,,,,,
0.36310070753097534,4,239,,,,,,,,,,
1.0705475807189941,4,249,,,,,,,,,,
0.19738928973674774,4,259,,,,,,,,,,
,4,259,0.8472982048988342,0.45924198627471924,1.1321758031845093,0.2186046540737152,0.5780029296875,,,,,
,5,260,,,,,,0.5780029296875,0.45924198627471924,0.2186046540737152,0.8472982048988342,1.1321758031845093
