train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas,test_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas
1.997828722000122,0,9,,,,,,,,,,
1.8962929248809814,0,19,,,,,,,,,,
1.36357581615448,0,29,,,,,,,,,,
1.6007963418960571,0,39,,,,,,,,,,
1.4985586404800415,0,49,,,,,,,,,,
,0,51,1.1132817268371582,0.2616766691207886,0.8509506583213806,0.13793103396892548,0.3202570080757141,,,,,
1.3125805854797363,1,59,,,,,,,,,,
1.0196384191513062,1,69,,,,,,,,,,
1.3042792081832886,1,79,,,,,,,,,,
1.1216481924057007,1,89,,,,,,,,,,
1.4287158250808716,1,99,,,,,,,,,,
,1,103,0.984336256980896,0.46030405163764954,0.8903400301933289,0.28735631704330444,0.505615234375,,,,,
1.090435266494751,2,109,,,,,,,,,,
1.4447134733200073,2,119,,,,,,,,,,
0.9266030788421631,2,129,,,,,,,,,,
0.670634925365448,2,139,,,,,,,,,,
0.8775494694709778,2,149,,,,,,,,,,
,2,155,0.8674355149269104,0.5105246901512146,0.9016185998916626,0.3735632300376892,0.5519132018089294,,,,,
0.6887500286102295,3,159,,,,,,,,,,
0.5611099600791931,3,169,,,,,,,,,,
0.7348354458808899,3,179,,,,,,,,,,
0.5414232611656189,3,189,,,,,,,,,,
0.9143679141998291,3,199,,,,,,,,,,
,3,207,0.826000988483429,0.5291048884391785,0.8996703624725342,0.36781609058380127,0.5691583752632141,,,,,
0.5599939227104187,4,209,,,,,,,,,,
0.9410778880119324,4,219,,,,,,,,,,
0.6944974660873413,4,229,,,,,,,,,,
0.4851471483707428,4,239,,,,,,,,,,
0.5174532532691956,4,249,,,,,,,,,,
0.6003783941268921,4,259,,,,,,,,,,
,4,259,0.8267521262168884,0.49626094102859497,0.8966476917266846,0.3448275923728943,0.5370427966117859,,,,,
,5,260,,,,,,0.826000988483429,0.5291048884391785,0.8996703624725342,0.36781609058380127,0.5691583752632141
