train_loss,step,epoch,val_qa_bert_score,val_qa_sas,val_qa_em,val_loss,val_qa_answer_f1,test_avg_qa_sas,test_avg_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_bert_score
2.8213069438934326,9,0,,,,,,,,,,
2.0270631313323975,19,0,,,,,,,,,,
1.0260339975357056,29,0,,,,,,,,,,
2.1689565181732178,39,0,,,,,,,,,,
2.01948618888855,49,0,,,,,,,,,,
,50,0,0.7751615643501282,0.3388427793979645,0.1826086938381195,1.9716548919677734,0.2956973910331726,,,,,
1.4619019031524658,59,1,,,,,,,,,,
1.8771884441375732,69,1,,,,,,,,,,
1.3101948499679565,79,1,,,,,,,,,,
1.0701351165771484,89,1,,,,,,,,,,
1.5498778820037842,99,1,,,,,,,,,,
,101,1,0.8311766386032104,0.4868408143520355,0.291304349899292,1.6698869466781616,0.44779783487319946,,,,,
1.5131211280822754,109,2,,,,,,,,,,
1.0111827850341797,119,2,,,,,,,,,,
1.0891190767288208,129,2,,,,,,,,,,
1.482185959815979,139,2,,,,,,,,,,
0.893047571182251,149,2,,,,,,,,,,
,152,2,0.8578815460205078,0.5694987177848816,0.37826088070869446,1.540226936340332,0.5397543907165527,,,,,
1.004435420036316,159,3,,,,,,,,,,
1.4428614377975464,169,3,,,,,,,,,,
0.9632679224014282,179,3,,,,,,,,,,
1.2556298971176147,189,3,,,,,,,,,,
1.413063645362854,199,3,,,,,,,,,,
,203,3,0.8599550724029541,0.5815104246139526,0.40434783697128296,1.5132449865341187,0.5508284568786621,,,,,
0.8825197219848633,209,4,,,,,,,,,,
1.1417961120605469,219,4,,,,,,,,,,
1.1278839111328125,229,4,,,,,,,,,,
1.1930664777755737,239,4,,,,,,,,,,
0.9290240406990051,249,4,,,,,,,,,,
,254,4,0.8664525151252747,0.593090832233429,0.40869563817977905,1.4615516662597656,0.5703262090682983,,,,,
,255,5,,,,,,0.593090832233429,0.5703262090682983,1.4615516662597656,0.40869563817977905,0.8664525151252747
