train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas,test_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas
0.997122049331665,0,9,,,,,,,,,,
1.012056589126587,0,19,,,,,,,,,,
0.5439971089363098,0,29,,,,,,,,,,
,0,32,0.5327320694923401,0.2102707028388977,0.7936372756958008,0.10526315867900848,0.1551342010498047,,,,,
0.8217081427574158,1,39,,,,,,,,,,
0.6335556507110596,1,49,,,,,,,,,,
0.5088520050048828,1,59,,,,,,,,,,
,1,65,0.47960373759269714,0.19926495850086212,0.7900510430335999,0.10526315867900848,0.14464950561523438,,,,,
0.6209032535552979,2,69,,,,,,,,,,
0.4879153370857239,2,79,,,,,,,,,,
0.4031763970851898,2,89,,,,,,,,,,
,2,98,0.44078630208969116,0.2770637571811676,0.8295401334762573,0.1666666716337204,0.279296875,,,,,
0.5236820578575134,3,99,,,,,,,,,,
0.38243645429611206,3,109,,,,,,,,,,
0.5136339664459229,3,119,,,,,,,,,,
0.5488572716712952,3,129,,,,,,,,,,
,3,131,0.4123252034187317,0.2996806204319,0.8358167409896851,0.17543859779834747,0.2864990234375,,,,,
0.38055506348609924,4,139,,,,,,,,,,
0.20029217004776,4,149,,,,,,,,,,
0.3883633613586426,4,159,,,,,,,,,,
,4,164,0.39038050174713135,0.371377170085907,0.8490746021270752,0.2631579041481018,0.34619140625,,,,,
,5,165,,,,,,0.39038050174713135,0.371377170085907,0.8490746021270752,0.2631579041481018,0.34619140625
