train_loss,epoch,step,val_qa_sas,val_qa_bert_score,val_loss,val_qa_em,val_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em,test_loss
2.232282876968384,0,9,,,,,,,,,,
0.9344356656074524,0,19,,,,,,,,,,
0.7648918032646179,0,29,,,,,,,,,,
1.0284059047698975,0,39,,,,,,,,,,
0.5710707306861877,0,49,,,,,,,,,,
0.6152774691581726,0,59,,,,,,,,,,
,0,59,0.27476269006729126,0.7979916334152222,0.4878375232219696,0.20955882966518402,0.3020159602165222,,,,,
0.487147718667984,1,69,,,,,,,,,,
0.4752962589263916,1,79,,,,,,,,,,
0.6677435636520386,1,89,,,,,,,,,,
0.4384544789791107,1,99,,,,,,,,,,
0.4228131175041199,1,109,,,,,,,,,,
0.40199896693229675,1,119,,,,,,,,,,
,1,119,0.3691341280937195,0.825568437576294,0.4013727903366089,0.3272058963775635,0.39299386739730835,,,,,
0.3843381404876709,2,129,,,,,,,,,,
0.361375093460083,2,139,,,,,,,,,,
0.40347251296043396,2,149,,,,,,,,,,
0.3873615562915802,2,159,,,,,,,,,,
0.48975837230682373,2,169,,,,,,,,,,
0.16373832523822784,2,179,,,,,,,,,,
,2,179,0.4268953800201416,0.8460442423820496,0.3454674184322357,0.3860294222831726,0.45552492141723633,,,,,
0.17895257472991943,3,189,,,,,,,,,,
0.21922370791435242,3,199,,,,,,,,,,
0.2961146831512451,3,209,,,,,,,,,,
0.23680132627487183,3,219,,,,,,,,,,
0.2831195890903473,3,229,,,,,,,,,,
0.6936183571815491,3,239,,,,,,,,,,
,3,239,0.44414225220680237,0.8517464399337769,0.320372074842453,0.40441176295280457,0.4715348482131958,,,,,
0.28943896293640137,4,249,,,,,,,,,,
0.3860994875431061,4,259,,,,,,,,,,
0.27883902192115784,4,269,,,,,,,,,,
0.2912537157535553,4,279,,,,,,,,,,
0.4275282919406891,4,289,,,,,,,,,,
0.25731661915779114,4,299,,,,,,,,,,
,4,299,0.4792311489582062,0.8614757657051086,0.30852991342544556,0.43382352590560913,0.5045107007026672,,,,,
,5,300,,,,,,0.8614757657051086,0.5045107007026672,0.4792311489582062,0.43382352590560913,0.30852991342544556
