train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas,test_loss
0.7081514000892639,0,9,,,,,,
0.3481820225715637,0,19,,,,,,
0.4228597581386566,0,29,,,,,,
0.5232837200164795,0,39,,,,,,
0.3411429524421692,0,49,,,,,,
0.2734970152378082,0,59,,,,,,
,0,61,0.07601932436227798,0.33270421624183655,0.8318337202072144,0.23308271169662476,0.2960391938686371,
0.2336340993642807,1,69,,,,,,
0.22478514909744263,1,79,,,,,,
0.11083763837814331,1,89,,,,,,
0.19164693355560303,1,99,,,,,,
0.393277108669281,1,109,,,,,,
0.20820103585720062,1,119,,,,,,
,1,123,0.06516944617033005,0.32921740412712097,0.8302951455116272,0.24060150980949402,0.2900460660457611,
0.15458697080612183,2,129,,,,,,
0.13564836978912354,2,139,,,,,,
0.10249795764684677,2,149,,,,,,
0.0992446318268776,2,159,,,,,,
0.1868792176246643,2,169,,,,,,
0.14899615943431854,2,179,,,,,,
,2,185,0.061807844787836075,0.32704639434814453,0.8328335881233215,0.24060150980949402,0.2969769239425659,
0.08343246579170227,3,189,,,,,,
0.1374960094690323,3,199,,,,,,
0.12449416518211365,3,209,,,,,,
0.07143379747867584,3,219,,,,,,
0.11296594887971878,3,229,,,,,,
0.14207880198955536,3,239,,,,,,
,3,247,0.06525813043117523,0.3471507132053375,0.8383203148841858,0.2631579041481018,0.3143691420555115,
0.05160413682460785,4,249,,,,,,
0.040760934352874756,4,259,,,,,,
0.05528765916824341,4,269,,,,,,
0.055352602154016495,4,279,,,,,,
0.033861417323350906,4,289,,,,,,
0.048071105033159256,4,299,,,,,,
0.09133607149124146,4,309,,,,,,
,4,309,0.07452951371669769,0.36600467562675476,0.8428652882575989,0.29323309659957886,0.3325701951980591,
,5,310,,,,,,0.07452951371669769
