step,train_loss,epoch,val_qa_bert_score,val_qa_em,val_qa_sas,val_loss,val_qa_answer_f1,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_em
9,1.1867157220840454,0,,,,,,,,,,
19,1.3567750453948975,0,,,,,,,,,,
29,0.8557814955711365,0,,,,,,,,,,
39,0.8467238545417786,0,,,,,,,,,,
40,,0,0.7813509106636047,0.16111111640930176,0.2264811247587204,0.5698246359825134,0.25698408484458923,,,,,
49,0.5346781015396118,1,,,,,,,,,,
59,0.5095522999763489,1,,,,,,,,,,
69,0.6284493803977966,1,,,,,,,,,,
79,0.5800749063491821,1,,,,,,,,,,
81,,1,0.8235043883323669,0.2944444417953491,0.360992431640625,0.4128949046134949,0.38137897849082947,,,,,
89,0.3088899850845337,2,,,,,,,,,,
99,0.44730454683303833,2,,,,,,,,,,
109,0.3514760136604309,2,,,,,,,,,,
119,0.48088985681533813,2,,,,,,,,,,
122,,2,0.8370259404182434,0.3499999940395355,0.3989664614200592,0.3632408082485199,0.42613452672958374,,,,,
129,0.3330884575843811,3,,,,,,,,,,
139,0.4030762314796448,3,,,,,,,,,,
149,0.24226927757263184,3,,,,,,,,,,
159,0.5332024693489075,3,,,,,,,,,,
163,,3,0.8580241799354553,0.4166666567325592,0.4573771059513092,0.337992787361145,0.48148393630981445,,,,,
169,0.3528148829936981,4,,,,,,,,,,
179,0.4109830856323242,4,,,,,,,,,,
189,0.3565506637096405,4,,,,,,,,,,
199,0.495802104473114,4,,,,,,,,,,
204,,4,0.8566777110099792,0.4055555462837219,0.4528299868106842,0.3367721438407898,0.47815826535224915,,,,,
205,,5,,,,,,0.48148393630981445,0.8580241799354553,0.337992787361145,0.4573771059513092,0.4166666567325592
