train_loss,epoch,step,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_qa_em,val_loss,test_loss
1.3107682466506958,0,9,,,,,,
0.5486778616905212,0,19,,,,,,
0.391351580619812,0,29,,,,,,
0.49509042501449585,0,39,,,,,,
0.3694019019603729,0,49,,,,,,
0.31702449917793274,0,59,,,,,,
0.4063664376735687,0,69,,,,,,
0.31201350688934326,0,79,,,,,,
,0,82,0.7876161932945251,0.2979869544506073,0.2594640552997589,0.20370370149612427,0.09226918965578079,
0.15930120646953583,1,89,,,,,,
0.2756043076515198,1,99,,,,,,
0.21229501068592072,1,109,,,,,,
0.20034392178058624,1,119,,,,,,
0.2799603343009949,1,129,,,,,,
0.273283988237381,1,139,,,,,,
0.2423723191022873,1,149,,,,,,
0.13099326193332672,1,159,,,,,,
,1,165,0.813305675983429,0.37985795736312866,0.3720628321170807,0.3333333432674408,0.07388703525066376,
0.1483403891324997,2,169,,,,,,
0.1507667601108551,2,179,,,,,,
0.2265014946460724,2,189,,,,,,
0.16612625122070312,2,199,,,,,,
0.09578461199998856,2,209,,,,,,
0.08052708208560944,2,219,,,,,,
0.15906623005867004,2,229,,,,,,
0.20672976970672607,2,239,,,,,,
,2,248,0.8261752724647522,0.40197333693504333,0.4097859859466553,0.3641975224018097,0.06793035566806793,
0.1418650597333908,3,249,,,,,,
0.08611766993999481,3,259,,,,,,
0.24636277556419373,3,269,,,,,,
0.04646424576640129,3,279,,,,,,
0.06389744579792023,3,289,,,,,,
0.1085386797785759,3,299,,,,,,
0.05792960897088051,3,309,,,,,,
0.050186943262815475,3,319,,,,,,
0.080589659512043,3,329,,,,,,
,3,331,0.826104998588562,0.394497811794281,0.40501540899276733,0.34567901492118835,0.06613469868898392,
0.06011008098721504,4,339,,,,,,
0.09145986288785934,4,349,,,,,,
0.11072266101837158,4,359,,,,,,
0.031561192125082016,4,369,,,,,,
0.06489477306604385,4,379,,,,,,
0.06802202761173248,4,389,,,,,,
0.06290803849697113,4,399,,,,,,
0.08086702227592468,4,409,,,,,,
,4,414,0.8313287496566772,0.41788971424102783,0.42928993701934814,0.37037035822868347,0.06874730437994003,
,5,415,,,,,,0.06874730437994003
