epoch,train_loss,step,val_qa_sas,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss
0,1.6191097497940063,9,,,,,,,,,,
0,1.6218990087509155,19,,,,,,,,,,
0,1.3316363096237183,29,,,,,,,,,,
0,1.267767310142517,39,,,,,,,,,,
0,,48,0.5432215929031372,0.852634608745575,0.28959277272224426,0.48374730348587036,1.5093148946762085,,,,,
1,2.3020434379577637,49,,,,,,,,,,
1,1.3763642311096191,59,,,,,,,,,,
1,1.502272367477417,69,,,,,,,,,,
1,0.9569815993309021,79,,,,,,,,,,
1,0.9755988121032715,89,,,,,,,,,,
1,,97,0.5588030219078064,0.8656821250915527,0.3710407316684723,0.5129076838493347,1.3783369064331055,,,,,
2,1.9425455331802368,99,,,,,,,,,,
2,1.256961703300476,109,,,,,,,,,,
2,1.131805658340454,119,,,,,,,,,,
2,0.9957122802734375,129,,,,,,,,,,
2,0.9560810923576355,139,,,,,,,,,,
2,,146,0.5688825249671936,0.8672035336494446,0.38009050488471985,0.5188906788825989,1.287750005722046,,,,,
3,0.6691418290138245,149,,,,,,,,,,
3,1.041601538658142,159,,,,,,,,,,
3,0.7874890565872192,169,,,,,,,,,,
3,0.9913079738616943,179,,,,,,,,,,
3,1.2211389541625977,189,,,,,,,,,,
3,,195,0.5723528265953064,0.8700458407402039,0.38009050488471985,0.5221837759017944,1.2643355131149292,,,,,
4,0.7867838144302368,199,,,,,,,,,,
4,1.3215728998184204,209,,,,,,,,,,
4,1.5516573190689087,219,,,,,,,,,,
4,1.2807668447494507,229,,,,,,,,,,
4,1.3289258480072021,239,,,,,,,,,,
4,,244,0.5781598687171936,0.8713632822036743,0.38009050488471985,0.530781090259552,1.255165934562683,,,,,
5,,245,,,,,,0.38009050488471985,0.8713632822036743,0.530781090259552,0.5781598687171936,1.255165934562683
