epoch,train_loss,step,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_em,test_loss,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1
0,1.2517282962799072,9,,,,,,,,,,
0,0.921754777431488,19,,,,,,,,,,
0,0.5108810067176819,29,,,,,,,,,,
0,2.971881151199341,39,,,,,,,,,,
0,1.5197935104370117,49,,,,,,,,,,
0,,54,0.5148038268089294,0.37695178389549255,0.8345045447349548,1.1068453788757324,0.09259258955717087,,,,,
1,0.3578355312347412,59,,,,,,,,,,
1,1.2322484254837036,69,,,,,,,,,,
1,2.9310462474823,79,,,,,,,,,,
1,0.8958092927932739,89,,,,,,,,,,
1,1.185913324356079,99,,,,,,,,,,
1,0.6976810097694397,109,,,,,,,,,,
1,,109,0.5431684851646423,0.425865113735199,0.8484920859336853,1.0649864673614502,0.12962962687015533,,,,,
2,1.532564401626587,119,,,,,,,,,,
2,0.7330425381660461,129,,,,,,,,,,
2,1.2189137935638428,139,,,,,,,,,,
2,1.1621936559677124,149,,,,,,,,,,
2,0.9361183047294617,159,,,,,,,,,,
2,,164,0.54833984375,0.4310113489627838,0.8502476215362549,1.0463142395019531,0.1358024626970291,,,,,
3,1.2166575193405151,169,,,,,,,,,,
3,1.0703892707824707,179,,,,,,,,,,
3,0.914601743221283,189,,,,,,,,,,
3,0.6525481343269348,199,,,,,,,,,,
3,1.5511060953140259,209,,,,,,,,,,
3,1.14564049243927,219,,,,,,,,,,
3,,219,0.5721324682235718,0.4530145227909088,0.8531846404075623,1.0307809114456177,0.17283950746059418,,,,,
4,1.686051607131958,229,,,,,,,,,,
4,0.5865172147750854,239,,,,,,,,,,
4,0.9726176261901855,249,,,,,,,,,,
4,0.8173576593399048,259,,,,,,,,,,
4,1.3004416227340698,269,,,,,,,,,,
4,,274,0.5564408898353577,0.4475975036621094,0.8551856875419617,1.0244791507720947,0.1419753134250641,,,,,
5,,275,,,,,,1.0244791507720947,0.8551856875419617,0.5564408898353577,0.1419753134250641,0.4475975036621094
