step,train_loss,epoch,val_loss,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
9,1.6250251531600952,0,,,,,,,,,,
19,1.1530590057373047,0,,,,,,,,,,
29,0.8598150014877319,0,,,,,,,,,,
39,0.8632495999336243,0,,,,,,,,,,
41,,0,0.5257224440574646,0.29116931557655334,0.20886075496673584,0.7847855091094971,0.28007811307907104,,,,,
49,0.5770559906959534,1,,,,,,,,,,
59,0.6197306513786316,1,,,,,,,,,,
69,0.3637232184410095,1,,,,,,,,,,
79,0.4843485951423645,1,,,,,,,,,,
83,,1,0.41900697350502014,0.38145214319229126,0.297468364238739,0.8173670768737793,0.3621826171875,,,,,
89,0.40826553106307983,2,,,,,,,,,,
99,0.34047991037368774,2,,,,,,,,,,
109,0.355413556098938,2,,,,,,,,,,
119,0.3687542676925659,2,,,,,,,,,,
125,,2,0.40003252029418945,0.4026145339012146,0.32278481125831604,0.8220246434211731,0.3819824159145355,,,,,
129,0.40475013852119446,3,,,,,,,,,,
139,0.5088208913803101,3,,,,,,,,,,
149,0.38446277379989624,3,,,,,,,,,,
159,0.36405715346336365,3,,,,,,,,,,
167,,3,0.39844948053359985,0.40418991446495056,0.3291139304637909,0.823531448841095,0.3802734315395355,,,,,
169,0.34906214475631714,4,,,,,,,,,,
179,0.28641653060913086,4,,,,,,,,,,
189,0.3500135838985443,4,,,,,,,,,,
199,0.36836370825767517,4,,,,,,,,,,
209,0.38934195041656494,4,,,,,,,,,,
209,,4,0.3681351840496063,0.41009294986724854,0.33544304966926575,0.8306277394294739,0.3817138671875,,,,,
210,,5,,,,,,0.33544304966926575,0.41009294986724854,0.3681351840496063,0.8306277394294739,0.3817138671875
