epoch,step,train_loss,val_qa_em,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_loss,test_loss
0,9,1.2912652492523193,,,,,,
0,19,0.6016543507575989,,,,,,
0,29,0.6934835314750671,,,,,,
0,39,0.2730604112148285,,,,,,
0,49,0.49526447057724,,,,,,
0,59,0.28630930185317993,,,,,,
0,69,0.5212181210517883,,,,,,
0,79,0.26764875650405884,,,,,,
0,80,,0.15000000596046448,0.24699246883392334,0.7815743684768677,0.270477831363678,0.10176364332437515,
1,89,0.1882912516593933,,,,,,
1,99,0.30941030383110046,,,,,,
1,109,0.19131940603256226,,,,,,
1,119,0.2969963252544403,,,,,,
1,129,0.2885214686393738,,,,,,
1,139,0.34670954942703247,,,,,,
1,149,0.21089968085289001,,,,,,
1,159,0.31030961871147156,,,,,,
1,161,,0.2222222238779068,0.2913408577442169,0.7892314791679382,0.2712578773498535,0.08846568316221237,
2,169,0.11690575629472733,,,,,,
2,179,0.10042989999055862,,,,,,
2,189,0.17017410695552826,,,,,,
2,199,0.08654911816120148,,,,,,
2,209,0.1563139259815216,,,,,,
2,219,0.1413976103067398,,,,,,
2,229,0.22037282586097717,,,,,,
2,239,0.15800584852695465,,,,,,
2,242,,0.24444444477558136,0.3157845437526703,0.7958057522773743,0.2941097617149353,0.08214369416236877,
3,249,0.06115607172250748,,,,,,
3,259,0.060895469039678574,,,,,,
3,269,0.17891637980937958,,,,,,
3,279,0.09963033348321915,,,,,,
3,289,0.13658365607261658,,,,,,
3,299,0.09398075938224792,,,,,,
3,309,0.13998103141784668,,,,,,
3,319,0.08838574588298798,,,,,,
3,323,,0.25555557012557983,0.3293081521987915,0.800338864326477,0.3039223849773407,0.08167223632335663,
4,329,0.08040323853492737,,,,,,
4,339,0.09892535209655762,,,,,,
4,349,0.058555543422698975,,,,,,
4,359,0.04703325033187866,,,,,,
4,369,0.06008782237768173,,,,,,
4,379,0.1258307248353958,,,,,,
4,389,0.055338356643915176,,,,,,
4,399,0.08806801587343216,,,,,,
4,404,,0.30000001192092896,0.37261462211608887,0.8148339986801147,0.34791842103004456,0.08816931396722794,
5,405,,,,,,,0.08816931396722794
