epoch,train_loss,step,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_qa_em,val_loss,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas
0,2.7794735431671143,9,,,,,,,,,,
0,2.0494863986968994,19,,,,,,,,,,
0,1.293493390083313,29,,,,,,,,,,
0,1.314422607421875,39,,,,,,,,,,
0,,47,0.5610144138336182,0.8669101595878601,0.5910807251930237,0.3896103799343109,1.7553434371948242,,,,,
1,1.0065906047821045,49,,,,,,,,,,
1,2.677917242050171,59,,,,,,,,,,
1,2.277177572250366,69,,,,,,,,,,
1,1.4723806381225586,79,,,,,,,,,,
1,2.1750335693359375,89,,,,,,,,,,
1,,95,0.6086158156394958,0.8850595951080322,0.627001941204071,0.4675324559211731,1.604163408279419,,,,,
2,0.8311087489128113,99,,,,,,,,,,
2,1.6233115196228027,109,,,,,,,,,,
2,1.2250603437423706,119,,,,,,,,,,
2,0.7873760461807251,129,,,,,,,,,,
2,1.3145241737365723,139,,,,,,,,,,
2,,143,0.627536416053772,0.8886343240737915,0.633984386920929,0.4848484992980957,1.5227493047714233,,,,,
3,1.104347586631775,149,,,,,,,,,,
3,2.1307215690612793,159,,,,,,,,,,
3,1.0354747772216797,169,,,,,,,,,,
3,1.1781758069992065,179,,,,,,,,,,
3,1.7024704217910767,189,,,,,,,,,,
3,,191,0.6294909715652466,0.8886604905128479,0.6368978023529053,0.48917749524116516,1.5047399997711182,,,,,
4,1.5099444389343262,199,,,,,,,,,,
4,1.2838969230651855,209,,,,,,,,,,
4,1.8120508193969727,219,,,,,,,,,,
4,1.1130518913269043,229,,,,,,,,,,
4,1.5520819425582886,239,,,,,,,,,,
4,,239,0.6445183753967285,0.8922834396362305,0.6597656011581421,0.5021644830703735,1.490838646888733,,,,,
5,,240,,,,,,0.6445183753967285,1.490838646888733,0.8922834396362305,0.5021644830703735,0.6597656011581421
