em_testing,f1_score_testing,sas_testing,fold,gold_answers,model_answers
1.0,1.0,0.9711229801177979,2,Stir to combine and let sit at room temperature overnight.,Stir to combine and let sit at room temperature overnight.
0.0,0.6666666865348816,0.7253935933113098,2,Adjust oven rack to lower-middle position,Adjust oven rack to lower-middle position and preheat oven to 300°F (150°C).
0.0,0.4363636374473572,0.6102190613746643,2,"Place skin side down in now-empty pan. Cook without moving until well-browned, 6 to 8 minutes. Flip chicken pieces and continue cooking until lightly browned on second side, about 3 minutes longer. Transfer to bowl with salt pork.",Season chicken pieces with pepper (do not add salt) and place skin side down in now-empty pan.
1.0,1.0,0.9723997712135315,2,Drain all but 2 tablespoons fat from pot.,Drain all but 2 tablespoons fat from pot.
0.0,0.8148148059844971,0.7069255113601685,2,"add onions to pot and cook, stirring and scraping up browned bits from the bottom of the pot.","cook, stirring and scraping up browned bits from the bottom of the pot."
0.0,0.8979591727256775,0.894084632396698,2,"Add onions to pot and cook, stirring and scraping up browned bits from the bottom of the pot. Cook until onions are translucent but not browned, about 4 minutes.","Cook, stirring and scraping up browned bits from the bottom of the pot. Cook until onions are translucent but not browned, about 4 minutes."
0.0,0.1666666716337204,0.07430016249418259,2,"add drained beans, carrot, celery, garlic, parsley, bay leaves, cloves, and stock/gelatin mixture.","Add sausages and cook, turning occasionally, until well-browned on both sides."
0.0,0.9599999785423279,0.8748321533203125,2,"Cook until beans are almost tender but retain a slight bite, about 45 minutes.","until beans are almost tender but retain a slight bite, about 45 minutes."
1.0,1.0,0.9722272157669067,2,"Using tongs, remove carrots, celery, parsley, bay leaves, and cloves and discard.","Using tongs, remove carrots, celery, parsley, bay leaves, and cloves and discard."
1.0,1.0,0.9743595123291016,2,"Add meats to pot and stir to incorporate, making sure that the chicken pieces end up on top of the beans with the skin facing upwards.","Add meats to pot and stir to incorporate, making sure that the chicken pieces end up on top of the beans with the skin facing upwards."
0.0,0.9444444179534912,0.9732909798622131,2,"adding more water by pouring it carefully down the side of the pot, as necessary, to keep beans mostly covered.","Add more water by pouring it carefully down the side of the pot, as necessary, to keep beans mostly covered."
0.0,0.4761904776096344,0.7177003622055054,2,every 30 minutes until you reach the 4 1/2 hour mark.,"Break crust with a spoon and shake pot gently to redistribute. Return to oven and continue cooking, stopping to break and shake the crust every 30 minutes until you reach the 4 1/2 hour mark."
0.0,0.4761904776096344,0.6218069195747375,2,"Return to oven and continue cooking undisturbed until the crust is deep brown and thick, about 5 to 6 hours total.","Return to oven and continue cooking, stopping to break and shake the crust every 30 minutes until you reach the 4 1/2 hour mark."
0.0,0.800000011920929,0.729028046131134,2,"In a large baking dish, combine potatoes, rosemary, and 2 tablespoons (30ml) olive oil. Season with salt and pepper, then toss to combine. Spread potatoes in an even, single layer.","Adjust oven rack to upper middle position and preheat oven to 375°F (190°C). In a large baking dish, combine potatoes, rosemary, and 2 tablespoons (30ml) olive oil. Season with salt and pepper, then toss to combine. Spread potatoes in an even, single layer. Roast"
1.0,1.0,0.9719950556755066,2,"Roast until a knife meets little resistance when inserted into a piece of potato, about 30 minutes","Roast until a knife meets little resistance when inserted into a piece of potato, about 30 minutes."
0.0,0.8095238208770752,0.7375746369361877,2,"Cut top 1/2 inch off stem end of tomatoes and set aside. Carefully run knife along the cavity of the tomato to loosen core and pulp, then use a spoon to carefully scoop them out into a bowl.","Cut top 1/2 inch off stem end of tomatoes and set aside. Carefully run knife along the cavity of the tomato to loosen core and pulp, then use a spoon to carefully scoop them out into a bowl. Repeat with remaining tomatoes. Season insides of tomatoes and their tops with salt, and place them"
