epoch,step,train_loss,val_qa_sas,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_loss,test_avg_qa_sas
0,9,2.6902167797088623,,,,,,,,,,
0,19,1.9365020990371704,,,,,,,,,,
0,29,1.791817545890808,,,,,,,,,,
0,39,1.538214087486267,,,,,,,,,,
0,49,2.769195795059204,,,,,,,,,,
0,51,,0.15757207572460175,0.7149449586868286,0.05752212554216385,0.10369177907705307,1.5725810527801514,,,,,
1,59,1.5506179332733154,,,,,,,,,,
1,69,1.4676578044891357,,,,,,,,,,
1,79,1.4529047012329102,,,,,,,,,,
1,89,1.622862696647644,,,,,,,,,,
1,99,1.1895761489868164,,,,,,,,,,
1,103,,0.23571647703647614,0.7405205965042114,0.1150442510843277,0.2070135921239853,1.2793405055999756,,,,,
2,109,1.3857762813568115,,,,,,,,,,
2,119,1.0609866380691528,,,,,,,,,,
2,129,0.9763374924659729,,,,,,,,,,
2,139,1.503795862197876,,,,,,,,,,
2,149,1.4072226285934448,,,,,,,,,,
2,155,,0.3552311360836029,0.7877887487411499,0.19911503791809082,0.3146095275878906,1.11273193359375,,,,,
3,159,1.1049586534500122,,,,,,,,,,
3,169,1.1122699975967407,,,,,,,,,,
3,179,0.7789074182510376,,,,,,,,,,
3,189,1.8130728006362915,,,,,,,,,,
3,199,0.9204345345497131,,,,,,,,,,
3,207,,0.427741676568985,0.8185120224952698,0.24778760969638824,0.3933776021003723,1.0487241744995117,,,,,
4,209,0.9488304257392883,,,,,,,,,,
4,219,1.8113608360290527,,,,,,,,,,
4,229,0.8945170044898987,,,,,,,,,,
4,239,0.9982199668884277,,,,,,,,,,
4,249,0.8116675019264221,,,,,,,,,,
4,259,0.9602051377296448,,,,,,,,,,
4,259,,0.45529401302337646,0.8333135843276978,0.28318583965301514,0.4181521534919739,1.0484343767166138,,,,,
5,260,,,,,,,0.4181521534919739,0.8333135843276978,0.28318583965301514,1.0484343767166138,0.45529401302337646
