train_loss,epoch,step,val_qa_bert_score,val_qa_answer_f1,val_qa_em,val_loss,val_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
1.3561668395996094,0,9,,,,,,,,,,
1.3930108547210693,0,19,,,,,,,,,,
0.8266132473945618,0,29,,,,,,,,,,
0.7380148768424988,0,39,,,,,,,,,,
,0,40,0.7895798087120056,0.2971831262111664,0.18888889253139496,0.5373378992080688,0.2700704038143158,,,,,
0.8256656527519226,1,49,,,,,,,,,,
0.4590112864971161,1,59,,,,,,,,,,
0.5785151720046997,1,69,,,,,,,,,,
0.5948187708854675,1,79,,,,,,,,,,
,1,81,0.8335161805152893,0.4240645468235016,0.33888888359069824,0.4191052317619324,0.3976643979549408,,,,,
0.30638039112091064,2,89,,,,,,,,,,
0.46577149629592896,2,99,,,,,,,,,,
0.3003407120704651,2,109,,,,,,,,,,
0.5300626158714294,2,119,,,,,,,,,,
,2,122,0.8437090516090393,0.43869373202323914,0.35555556416511536,0.35339081287384033,0.4131571352481842,,,,,
0.34073489904403687,3,129,,,,,,,,,,
0.3722815215587616,3,139,,,,,,,,,,
0.44423842430114746,3,149,,,,,,,,,,
0.4610828161239624,3,159,,,,,,,,,,
,3,163,0.8606083393096924,0.46020248532295227,0.38333332538604736,0.33676794171333313,0.4592691957950592,,,,,
0.4973101317882538,4,169,,,,,,,,,,
0.32531407475471497,4,179,,,,,,,,,,
0.29960042238235474,4,189,,,,,,,,,,
0.491925984621048,4,199,,,,,,,,,,
,4,204,0.8632591366767883,0.4879269599914551,0.41111111640930176,0.32047149538993835,0.4714762270450592,,,,,
,5,205,,,,,,0.4879269599914551,0.41111111640930176,0.32047149538993835,0.8632591366767883,0.4714762270450592
