epoch,train_loss,step,val_qa_sas,val_qa_em,val_loss,val_qa_answer_f1,val_qa_bert_score,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss,test_avg_qa_em
0,1.3598469495773315,9,,,,,,,,,,
0,0.7532228827476501,19,,,,,,,,,,
0,1.1065987348556519,29,,,,,,,,,,
0,0.6084812879562378,39,,,,,,,,,,
0,0.9061428308486938,49,,,,,,,,,,
0,0.40815895795822144,59,,,,,,,,,,
0,,62,0.27264073491096497,0.25550660490989685,0.49459323287010193,0.31785038113594055,0.7883255481719971,,,,,
1,0.5465511083602905,69,,,,,,,,,,
1,0.4989980161190033,79,,,,,,,,,,
1,0.5086145997047424,89,,,,,,,,,,
1,0.9094432592391968,99,,,,,,,,,,
1,0.4376327097415924,109,,,,,,,,,,
1,0.38095054030418396,119,,,,,,,,,,
1,,125,0.3437606394290924,0.3259911835193634,0.3645935356616974,0.3936319947242737,0.8075509667396545,,,,,
2,0.3734889626502991,129,,,,,,,,,,
2,0.29598915576934814,139,,,,,,,,,,
2,0.5195260047912598,149,,,,,,,,,,
2,0.40438252687454224,159,,,,,,,,,,
2,0.32377636432647705,169,,,,,,,,,,
2,0.38677841424942017,179,,,,,,,,,,
2,,188,0.44546204805374146,0.39647576212882996,0.3192116618156433,0.4712725877761841,0.8413158655166626,,,,,
3,0.32443633675575256,189,,,,,,,,,,
3,0.33756110072135925,199,,,,,,,,,,
3,0.42499256134033203,209,,,,,,,,,,
3,0.7004060745239258,219,,,,,,,,,,
3,0.3578733801841736,229,,,,,,,,,,
3,0.3882680833339691,239,,,,,,,,,,
3,0.3947483003139496,249,,,,,,,,,,
3,,251,0.4723142981529236,0.453744500875473,0.2817193567752838,0.5192862153053284,0.8523508906364441,,,,,
4,0.2991082966327667,259,,,,,,,,,,
4,0.0872061625123024,269,,,,,,,,,,
4,0.5817651748657227,279,,,,,,,,,,
4,0.3120163679122925,289,,,,,,,,,,
4,0.2306881546974182,299,,,,,,,,,,
4,0.39951005578041077,309,,,,,,,,,,
4,,314,0.48983219265937805,0.4977973699569702,0.27282091975212097,0.553181529045105,0.8593931198120117,,,,,
5,,315,,,,,,0.8593931198120117,0.553181529045105,0.48983219265937805,0.27282091975212097,0.4977973699569702
