train_loss,step,epoch,val_qa_answer_f1,val_loss,val_qa_sas,val_qa_bert_score,val_qa_em,test_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas
2.7385690212249756,9,0,,,,,,,,,,
2.0060083866119385,19,0,,,,,,,,,,
1.4016295671463013,29,0,,,,,,,,,,
1.3772070407867432,39,0,,,,,,,,,,
,47,0,0.5574069619178772,1.7549160718917847,0.5868001580238342,0.8663008213043213,0.3896103799343109,,,,,
1.010388970375061,49,1,,,,,,,,,,
2.7022576332092285,59,1,,,,,,,,,,
2.2862184047698975,69,1,,,,,,,,,,
1.4671140909194946,79,1,,,,,,,,,,
2.1315367221832275,89,1,,,,,,,,,,
,95,1,0.6216028928756714,1.605456829071045,0.6319010257720947,0.887065589427948,0.4761904776096344,,,,,
0.7344377636909485,99,2,,,,,,,,,,
1.6128684282302856,109,2,,,,,,,,,,
1.2291710376739502,119,2,,,,,,,,,,
0.8002743124961853,129,2,,,,,,,,,,
1.269179344177246,139,2,,,,,,,,,,
,143,2,0.6253513097763062,1.5236220359802246,0.63525390625,0.8886719346046448,0.48051947355270386,,,,,
1.0793321132659912,149,3,,,,,,,,,,
2.0964417457580566,159,3,,,,,,,,,,
0.9990567564964294,169,3,,,,,,,,,,
1.2179402112960815,179,3,,,,,,,,,,
1.696467399597168,189,3,,,,,,,,,,
,191,3,0.6492983102798462,1.4933520555496216,0.6569661498069763,0.8931716084480286,0.5021644830703735,,,,,
1.5288652181625366,199,4,,,,,,,,,,
1.2275787591934204,209,4,,,,,,,,,,
1.8088222742080688,219,4,,,,,,,,,,
1.121118426322937,229,4,,,,,,,,,,
1.5156893730163574,239,4,,,,,,,,,,
,239,4,0.6510673761367798,1.4808039665222168,0.6618977785110474,0.892840564250946,0.5108225345611572,,,,,
,240,5,,,,,,1.4808039665222168,0.892840564250946,0.5108225345611572,0.6510673761367798,0.6618977785110474
