train_loss,step,epoch,val_qa_em,val_loss,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score,test_loss
1.637406826019287,9,0,,,,,,,,,,
0.9173896908760071,19,0,,,,,,,,,,
1.0263968706130981,29,0,,,,,,,,,,
0.8950555920600891,39,0,,,,,,,,,,
,41,0,0.22077922523021698,0.4999271631240845,0.2932372987270355,0.3029169738292694,0.787311315536499,,,,,
0.5824637413024902,49,1,,,,,,,,,,
0.5585765838623047,59,1,,,,,,,,,,
0.4144688844680786,69,1,,,,,,,,,,
0.40077078342437744,79,1,,,,,,,,,,
,83,1,0.2922077775001526,0.36928030848503113,0.3405395448207855,0.35797420144081116,0.7992387413978577,,,,,
0.41724058985710144,89,2,,,,,,,,,,
0.513234555721283,99,2,,,,,,,,,,
0.45654428005218506,109,2,,,,,,,,,,
0.30375155806541443,119,2,,,,,,,,,,
,125,2,0.37662336230278015,0.3228422701358795,0.39873045682907104,0.4153842329978943,0.8179049491882324,,,,,
0.3991062343120575,129,3,,,,,,,,,,
0.2756335437297821,139,3,,,,,,,,,,
0.3836914002895355,149,3,,,,,,,,,,
0.29220637679100037,159,3,,,,,,,,,,
,167,3,0.37662336230278015,0.29708558320999146,0.40894776582717896,0.4289078116416931,0.8332116007804871,,,,,
0.39556288719177246,169,4,,,,,,,,,,
0.4294079542160034,179,4,,,,,,,,,,
0.37184780836105347,189,4,,,,,,,,,,
0.4588196873664856,199,4,,,,,,,,,,
0.3785833716392517,209,4,,,,,,,,,,
,209,4,0.4025973975658417,0.27897346019744873,0.4302001893520355,0.4523617625236511,0.8388412594795227,,,,,
,210,5,,,,,,0.4025973975658417,0.4523617625236511,0.4302001893520355,0.8388412594795227,0.27897346019744873
