train_loss,epoch,step,val_qa_em,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_sas,test_loss,test_avg_qa_bert_score
1.5439211130142212,0,9,,,,,,,,,,
1.2250607013702393,0,19,,,,,,,,,,
1.0499229431152344,0,29,,,,,,,,,,
0.7427997589111328,0,39,,,,,,,,,,
0.6245043277740479,0,49,,,,,,,,,,
0.46572044491767883,0,59,,,,,,,,,,
,0,62,0.19823788106441498,0.786540150642395,0.2690178453922272,0.2673129141330719,0.527096152305603,,,,,
0.47337067127227783,1,69,,,,,,,,,,
0.5058575868606567,1,79,,,,,,,,,,
0.5057946443557739,1,89,,,,,,,,,,
0.5977778434753418,1,99,,,,,,,,,,
0.4540620744228363,1,109,,,,,,,,,,
0.3991672992706299,1,119,,,,,,,,,,
,1,125,0.28634360432624817,0.8133470416069031,0.34338849782943726,0.35001546144485474,0.4168340861797333,,,,,
0.4464469254016876,2,129,,,,,,,,,,
0.3479442000389099,2,139,,,,,,,,,,
0.6002244353294373,2,149,,,,,,,,,,
0.34618696570396423,2,159,,,,,,,,,,
0.4027223289012909,2,169,,,,,,,,,,
0.3572218120098114,2,179,,,,,,,,,,
,2,188,0.3392070531845093,0.835926353931427,0.4071965515613556,0.3989281952381134,0.3841490149497986,,,,,
0.3554938733577728,3,189,,,,,,,,,,
0.42052048444747925,3,199,,,,,,,,,,
0.36145269870758057,3,209,,,,,,,,,,
0.47237956523895264,3,219,,,,,,,,,,
0.31298255920410156,3,229,,,,,,,,,,
0.6070403456687927,3,239,,,,,,,,,,
0.3594425320625305,3,249,,,,,,,,,,
,3,251,0.3480176329612732,0.8419647812843323,0.4144628942012787,0.423866331577301,0.3315690755844116,,,,,
0.28607597947120667,4,259,,,,,,,,,,
0.22644634544849396,4,269,,,,,,,,,,
0.2932424545288086,4,279,,,,,,,,,,
0.295211523771286,4,289,,,,,,,,,,
0.2830711901187897,4,299,,,,,,,,,,
0.44689828157424927,4,309,,,,,,,,,,
,4,314,0.3480176329612732,0.8410758972167969,0.41175705194473267,0.41831108927726746,0.33266526460647583,,,,,
,5,315,,,,,,0.41831108927726746,0.3480176329612732,0.41175705194473267,0.33266526460647583,0.8410758972167969
