epoch,step,train_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas,val_loss,test_avg_qa_bert_score,test_avg_qa_em,test_loss,test_avg_qa_answer_f1,test_avg_qa_sas
0,9,2.7595160007476807,,,,,,,,,,
0,19,2.2209463119506836,,,,,,,,,,
0,29,1.4177212715148926,,,,,,,,,,
0,39,1.872566819190979,,,,,,,,,,
0,49,1.16117262840271,,,,,,,,,,
0,52,,0.4450203478336334,0.8405091166496277,0.30128204822540283,0.468994140625,1.5096051692962646,,,,,
1,59,1.8144114017486572,,,,,,,,,,
1,69,0.732764720916748,,,,,,,,,,
1,79,9.896468162536621,,,,,,,,,,
1,89,1.998559594154358,,,,,,,,,,
1,99,1.8626798391342163,,,,,,,,,,
1,105,,0.4694004952907562,0.8487922549247742,0.3717948794364929,0.49311524629592896,1.3694700002670288,,,,,
2,109,1.661842703819275,,,,,,,,,,
2,119,1.805200219154358,,,,,,,,,,
2,129,1.5478352308273315,,,,,,,,,,
2,139,0.6509443521499634,,,,,,,,,,
2,149,1.4573360681533813,,,,,,,,,,
2,158,,0.49895888566970825,0.8590517044067383,0.4038461446762085,0.5193847417831421,1.2940256595611572,,,,,
3,159,1.511950969696045,,,,,,,,,,
3,169,1.2357577085494995,,,,,,,,,,
3,179,1.3654669523239136,,,,,,,,,,
3,189,1.6321243047714233,,,,,,,,,,
3,199,0.6045063734054565,,,,,,,,,,
3,209,0.8263502717018127,,,,,,,,,,
3,211,,0.5079795718193054,0.8607443571090698,0.42307692766189575,0.528564453125,1.2476165294647217,,,,,
4,219,0.9973159432411194,,,,,,,,,,
4,229,1.4797731637954712,,,,,,,,,,
4,239,1.1747010946273804,,,,,,,,,,
4,249,0.5902888178825378,,,,,,,,,,
4,259,1.1008117198944092,,,,,,,,,,
4,264,,0.4989645183086395,0.8582515716552734,0.41025641560554504,0.529248058795929,1.2395585775375366,,,,,
5,265,,,,,,,0.8607443571090698,0.42307692766189575,1.2476165294647217,0.5079795718193054,0.528564453125
