train_loss,epoch,step,val_qa_sas,val_qa_bert_score,val_loss,val_qa_em,val_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em,test_loss
1.5672659873962402,0,9,,,,,,,,,,
1.001240611076355,0,19,,,,,,,,,,
1.0049861669540405,0,29,,,,,,,,,,
0.94014972448349,0,39,,,,,,,,,,
0.5503259897232056,0,49,,,,,,,,,,
0.35531455278396606,0,59,,,,,,,,,,
,0,62,0.27707716822624207,0.7951532006263733,0.47880369424819946,0.22026431560516357,0.3046558201313019,,,,,
0.4857903718948364,1,69,,,,,,,,,,
0.5680886507034302,1,79,,,,,,,,,,
0.6478438377380371,1,89,,,,,,,,,,
0.6489406228065491,1,99,,,,,,,,,,
0.3658401370048523,1,109,,,,,,,,,,
0.4325602054595947,1,119,,,,,,,,,,
,1,125,0.385682612657547,0.826521098613739,0.3710706830024719,0.3348017632961273,0.40262070298194885,,,,,
0.4590497612953186,2,129,,,,,,,,,,
0.2835121750831604,2,139,,,,,,,,,,
0.5420831441879272,2,149,,,,,,,,,,
0.22446075081825256,2,159,,,,,,,,,,
0.25718575716018677,2,169,,,,,,,,,,
0.2548865079879761,2,179,,,,,,,,,,
,2,188,0.4374949038028717,0.8447144627571106,0.3362017273902893,0.3700440526008606,0.43448057770729065,,,,,
0.30690160393714905,3,189,,,,,,,,,,
0.4583912789821625,3,199,,,,,,,,,,
0.3201359808444977,3,209,,,,,,,,,,
0.36824488639831543,3,219,,,,,,,,,,
0.23857253789901733,3,229,,,,,,,,,,
0.35582682490348816,3,239,,,,,,,,,,
0.4460923671722412,3,249,,,,,,,,,,
,3,251,0.4523663818836212,0.8474542498588562,0.308356910943985,0.392070472240448,0.4512205123901367,,,,,
0.29972347617149353,4,259,,,,,,,,,,
0.17530430853366852,4,269,,,,,,,,,,
0.30401521921157837,4,279,,,,,,,,,,
0.3057861030101776,4,289,,,,,,,,,,
0.2245837152004242,4,299,,,,,,,,,,
0.43869882822036743,4,309,,,,,,,,,,
,4,314,0.48785316944122314,0.8591764569282532,0.2877931594848633,0.4361233413219452,0.4863784611225128,,,,,
,5,315,,,,,,0.8591764569282532,0.4863784611225128,0.48785316944122314,0.4361233413219452,0.2877931594848633
