train_loss,epoch,step,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_em,test_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_answer_f1
1.2165881395339966,0,9,,,,,,,,,,
1.309016466140747,0,19,,,,,,,,,,
1.015107274055481,0,29,,,,,,,,,,
0.8308873176574707,0,39,,,,,,,,,,
0.5622379183769226,0,49,,,,,,,,,,
0.7486923336982727,0,59,,,,,,,,,,
,0,61,0.23553667962551117,0.2614312171936035,0.7885752320289612,0.5085179209709167,0.173728808760643,,,,,
0.512690544128418,1,69,,,,,,,,,,
0.5668984055519104,1,79,,,,,,,,,,
0.4508779048919678,1,89,,,,,,,,,,
0.42761871218681335,1,99,,,,,,,,,,
0.48596566915512085,1,109,,,,,,,,,,
0.5955994725227356,1,119,,,,,,,,,,
,1,123,0.2799937129020691,0.29864245653152466,0.8006321787834167,0.43693655729293823,0.2330508530139923,,,,,
0.4957394599914551,2,129,,,,,,,,,,
0.46407046914100647,2,139,,,,,,,,,,
0.26724573969841003,2,149,,,,,,,,,,
0.3004785180091858,2,159,,,,,,,,,,
0.44168224930763245,2,169,,,,,,,,,,
0.3512077033519745,2,179,,,,,,,,,,
,2,185,0.30618521571159363,0.32540103793144226,0.8119500279426575,0.38265711069107056,0.26271185278892517,,,,,
0.330304890871048,3,189,,,,,,,,,,
0.38865816593170166,3,199,,,,,,,,,,
0.4559040069580078,3,209,,,,,,,,,,
0.3565598428249359,3,219,,,,,,,,,,
0.4726962745189667,3,229,,,,,,,,,,
0.4873465299606323,3,239,,,,,,,,,,
,3,247,0.3088996708393097,0.3293493986129761,0.8154507279396057,0.370504230260849,0.26271185278892517,,,,,
0.41606077551841736,4,249,,,,,,,,,,
0.5134751200675964,4,259,,,,,,,,,,
0.3911532461643219,4,269,,,,,,,,,,
0.2671769857406616,4,279,,,,,,,,,,
0.30795907974243164,4,289,,,,,,,,,,
0.23419678211212158,4,299,,,,,,,,,,
0.28785088658332825,4,309,,,,,,,,,,
,4,309,0.3380143344402313,0.3583182096481323,0.8262118101119995,0.35304901003837585,0.2923728823661804,,,,,
,5,310,,,,,,0.35304901003837585,0.2923728823661804,0.8262118101119995,0.3380143344402313,0.3583182096481323
