epoch,step,train_loss,val_qa_em,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_loss,test_loss
0,9,1.1670610904693604,,,,,,
0,19,0.7479494214057922,,,,,,
0,29,0.552063524723053,,,,,,
0,39,0.8302662372589111,,,,,,
0,49,0.4703281819820404,,,,,,
0,59,0.3591578006744385,,,,,,
0,69,0.2773556411266327,,,,,,
0,79,0.36093294620513916,,,,,,
0,83,,0.1818181872367859,0.25984326004981995,0.7859386801719666,0.2698909640312195,0.09692316502332687,
1,89,0.4130201041698456,,,,,,
1,99,0.414188951253891,,,,,,
1,109,0.29900112748146057,,,,,,
1,119,0.20750536024570465,,,,,,
1,129,0.29772427678108215,,,,,,
1,139,0.2364153414964676,,,,,,
1,149,0.15062133967876434,,,,,,
1,159,0.25536060333251953,,,,,,
1,167,,0.23376622796058655,0.2875538170337677,0.7927664518356323,0.29418736696243286,0.07294871658086777,
2,169,0.19863379001617432,,,,,,
2,179,0.14380021393299103,,,,,,
2,189,0.1378629058599472,,,,,,
2,199,0.22847439348697662,,,,,,
2,209,0.09593268483877182,,,,,,
2,219,0.18164093792438507,,,,,,
2,229,0.2340337634086609,,,,,,
2,239,0.12360934913158417,,,,,,
2,249,0.05119071528315544,,,,,,
2,251,,0.2532467544078827,0.3162494897842407,0.8008781671524048,0.31039994955062866,0.06787006556987762,
3,259,0.07043994963169098,,,,,,
3,269,0.17100797593593597,,,,,,
3,279,0.06779153645038605,,,,,,
3,289,0.13010066747665405,,,,,,
3,299,0.06704993546009064,,,,,,
3,309,0.06857990473508835,,,,,,
3,319,0.12494540959596634,,,,,,
3,329,0.08392268419265747,,,,,,
3,335,,0.3311688303947449,0.37717413902282715,0.8145383596420288,0.3774559497833252,0.06836884468793869,
4,339,0.06260012090206146,,,,,,
4,349,0.0833318680524826,,,,,,
4,359,0.057256992906332016,,,,,,
4,369,0.04532509297132492,,,,,,
4,379,0.06020108610391617,,,,,,
4,389,0.06770539283752441,,,,,,
4,399,0.06387293338775635,,,,,,
4,409,0.06459308415651321,,,,,,
4,419,0.09196510910987854,,,,,,
4,419,,0.3636363744735718,0.41299739480018616,0.8247597217559814,0.41628095507621765,0.07403463125228882,
5,420,,,,,,,0.07403463125228882
