step,epoch,train_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_qa_em,val_loss
9,0,1.7010046243667603,,,,,
19,0,1.2888039350509644,,,,,
29,0,0.948127806186676,,,,,
39,0,0.9859007000923157,,,,,
40,0,,0.24122987687587738,0.7742812633514404,0.21787886321544647,0.1627907007932663,0.5985977649688721
49,1,0.660953164100647,,,,,
59,1,0.6521952152252197,,,,,
69,1,0.42038190364837646,,,,,
79,1,0.5596025586128235,,,,,
81,1,,0.37338972091674805,0.814158022403717,0.3444380462169647,0.302325576543808,0.44460275769233704
89,2,0.3368510603904724,,,,,
99,2,0.4663117527961731,,,,,
109,2,0.25856879353523254,,,,,
119,2,0.36417073011398315,,,,,
122,2,,0.37564048171043396,0.8169057965278625,0.3431285619735718,0.3139534890651703,0.3949284255504608
129,3,0.4101462960243225,,,,,
139,3,0.4068755507469177,,,,,
149,3,0.19942454993724823,,,,,
159,3,0.1913648098707199,,,,,
163,3,,0.4100612699985504,0.828335702419281,0.3760209381580353,0.34302327036857605,0.35934823751449585
169,4,0.5946429967880249,,,,,
