epoch,train_loss,step,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_loss,val_qa_em,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_em,test_loss,test_avg_qa_answer_f1
0,0.9106871485710144,9,,,,,,,,,,
0,2.8820960521698,19,,,,,,,,,,
0,1.435433268547058,29,,,,,,,,,,
0,1.0595123767852783,39,,,,,,,,,,
0,1.4257092475891113,49,,,,,,,,,,
0,,49,0.38218849897384644,0.47020670771598816,0.8300596475601196,1.4683845043182373,0.1458333283662796,,,,,
1,0.5506060123443604,59,,,,,,,,,,
1,0.8710388541221619,69,,,,,,,,,,
1,1.7523891925811768,79,,,,,,,,,,
1,0.778197169303894,89,,,,,,,,,,
1,0.5766685605049133,99,,,,,,,,,,
1,,99,0.37642592191696167,0.4742187559604645,0.8269521594047546,1.3957105875015259,0.12083332985639572,,,,,
2,0.4280681908130646,109,,,,,,,,,,
2,0.7970931529998779,119,,,,,,,,,,
2,0.24534684419631958,129,,,,,,,,,,
2,1.618538498878479,139,,,,,,,,,,
2,1.034517765045166,149,,,,,,,,,,
2,,149,0.3824799358844757,0.4761962890625,0.8296736478805542,1.3693664073944092,0.11666666716337204,,,,,
3,0.8008301258087158,159,,,,,,,,,,
3,0.5515684485435486,169,,,,,,,,,,
3,0.918476402759552,179,,,,,,,,,,
3,1.0101763010025024,189,,,,,,,,,,
3,0.609754741191864,199,,,,,,,,,,
3,,199,0.3924494683742523,0.48339030146598816,0.8321858644485474,1.3426603078842163,0.10833333432674408,,,,,
4,1.143980622291565,209,,,,,,,,,,
4,0.553855836391449,219,,,,,,,,,,
4,0.6924602389335632,229,,,,,,,,,,
4,0.8162028193473816,239,,,,,,,,,,
4,0.6097815036773682,249,,,,,,,,,,
4,,249,0.38765832781791687,0.47819823026657104,0.832064688205719,1.3377068042755127,0.12916666269302368,,,,,
5,,250,,,,,,0.832064688205719,0.47819823026657104,0.12916666269302368,1.3377068042755127,0.38765832781791687
