epoch,train_loss,step,val_qa_em,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_bert_score
0,0.5504283308982849,9,,,,,
0,0.18722741305828094,19,,,,,
0,0.2166173905134201,29,,,,,
0,0.19096434116363525,39,,,,,
0,0.16923844814300537,49,,,,,
0,0.1539001762866974,59,,,,,
0,0.12144249677658081,69,,,,,
0,0.13824579119682312,79,,,,,
0,0.39750775694847107,89,,,,,
0,0.15399494767189026,99,,,,,
0,0.15742360055446625,109,,,,,
0,0.13298960030078888,119,,,,,
0,,124,0.4054054021835327,0.09108028560876846,0.4603842794895172,0.5179603695869446,0.8800439238548279
1,0.12566858530044556,129,,,,,
1,0.43285319209098816,139,,,,,
1,0.2197807878255844,149,,,,,
1,0.12606140971183777,159,,,,,
