train_loss,epoch,step,val_qa_answer_f1,val_qa_sas,val_qa_em,val_qa_bert_score,val_loss,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_em,test_loss,test_avg_qa_answer_f1
2.9161880016326904,0,9,,,,,,,,,,
3.323564052581787,0,19,,,,,,,,,,
1.938389778137207,0,29,,,,,,,,,,
2.0538156032562256,0,39,,,,,,,,,,
,0,47,0.27434298396110535,0.28913167119026184,0.1991342008113861,0.7724897265434265,2.23577618598938,,,,,
1.4218069314956665,1,49,,,,,,,,,,
3.130911350250244,1,59,,,,,,,,,,
2.4758105278015137,1,69,,,,,,,,,,
2.023533344268799,1,79,,,,,,,,,,
2.4200949668884277,1,89,,,,,,,,,,
,1,95,0.4274589717388153,0.4483642578125,0.3333333432674408,0.8302592039108276,1.9203866720199585,,,,,
1.238523006439209,2,99,,,,,,,,,,
1.1587892770767212,2,109,,,,,,,,,,
1.2885795831680298,2,119,,,,,,,,,,
1.8029903173446655,2,129,,,,,,,,,,
1.545011043548584,2,139,,,,,,,,,,
,2,143,0.48537272214889526,0.5024576783180237,0.3722943663597107,0.8509359359741211,1.7470836639404297,,,,,
1.5496904850006104,3,149,,,,,,,,,,
1.7553465366363525,3,159,,,,,,,,,,
1.4106788635253906,3,169,,,,,,,,,,
1.6253321170806885,3,179,,,,,,,,,,
1.6824332475662231,3,189,,,,,,,,,,
,3,191,0.5168578028678894,0.5364745855331421,0.3896103799343109,0.8595626950263977,1.6843527555465698,,,,,
1.394981026649475,4,199,,,,,,,,,,
1.3789814710617065,4,209,,,,,,,,,,
1.9766823053359985,4,219,,,,,,,,,,
1.4644893407821655,4,229,,,,,,,,,,
1.4600744247436523,4,239,,,,,,,,,,
,4,239,0.5229390263557434,0.5417643189430237,0.39393940567970276,0.8637848496437073,1.6313295364379883,,,,,
,5,240,,,,,,0.8637848496437073,0.5417643189430237,0.39393940567970276,1.6313295364379883,0.5229390263557434
