step,train_loss,epoch,val_qa_bert_score,val_loss,val_qa_sas,val_qa_em,val_qa_answer_f1,test_loss
9,1.20700204372406,0,,,,,,
19,0.7215406894683838,0,,,,,,
29,0.4474244713783264,0,,,,,,
39,0.9014413952827454,0,,,,,,
49,0.41778531670570374,0,,,,,,
59,0.3267878293991089,0,,,,,,
69,0.3168379068374634,0,,,,,,
79,0.3473975360393524,0,,,,,,
83,,0,0.7836297750473022,0.09410226345062256,0.2770541310310364,0.1818181872367859,0.25989797711372375,
89,0.265926331281662,1,,,,,,
99,0.3079611361026764,1,,,,,,
109,0.27380287647247314,1,,,,,,
119,0.14847780764102936,1,,,,,,
129,0.24253232777118683,1,,,,,,
139,0.2384471595287323,1,,,,,,
149,0.1603446900844574,1,,,,,,
159,0.32021549344062805,1,,,,,,
167,,1,0.799630343914032,0.07306333631277084,0.3154738247394562,0.22727273404598236,0.3021117150783539,
169,0.15327748656272888,2,,,,,,
179,0.09477687627077103,2,,,,,,
189,0.14646896719932556,2,,,,,,
199,0.20448358356952667,2,,,,,,
209,0.12132009118795395,2,,,,,,
219,nan,2,,,,,,
229,0.2127796709537506,2,,,,,,
239,0.13942202925682068,2,,,,,,
249,0.057648178189992905,2,,,,,,
251,,2,0.8060628175735474,0.06841308623552322,0.32691490650177,0.2532467544078827,0.32398733496665955,
259,0.061602942645549774,3,,,,,,
269,0.15142710506916046,3,,,,,,
279,0.07910726964473724,3,,,,,,
289,0.0977618545293808,3,,,,,,
299,0.06713787466287613,3,,,,,,
309,0.06511905044317245,3,,,,,,
319,0.08248482644557953,3,,,,,,
329,0.12681372463703156,3,,,,,,
335,,3,0.8174669742584229,0.0726025179028511,0.36261382699012756,0.30519479513168335,0.3708202540874481,
339,0.04738711193203926,4,,,,,,
349,0.12760868668556213,4,,,,,,
359,0.036880433559417725,4,,,,,,
369,0.0633612871170044,4,,,,,,
379,0.050181664526462555,4,,,,,,
389,0.05242624878883362,4,,,,,,
399,0.06571416556835175,4,,,,,,
409,0.09239398688077927,4,,,,,,
419,0.05959133058786392,4,,,,,,
419,,4,0.8195488452911377,0.07867667824029922,0.38960888981819153,0.3181818127632141,0.3848314881324768,
420,,5,,,,,,0.07867667824029922
