epoch,train_loss,step,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_em,test_loss,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1
0,1.0184985399246216,9,,,,,,,,,,
0,1.2274976968765259,19,,,,,,,,,,
0,1.4784235954284668,29,,,,,,,,,,
0,1.0408824682235718,39,,,,,,,,,,
0,1.1502636671066284,49,,,,,,,,,,
0,,51,0.5257045030593872,0.40048694610595703,0.8339502215385437,1.2253164052963257,0.14418604969978333,,,,,
1,1.0561919212341309,59,,,,,,,,,,
1,1.1216422319412231,69,,,,,,,,,,
1,1.2251620292663574,79,,,,,,,,,,
1,1.3270466327667236,89,,,,,,,,,,
1,2.539210319519043,99,,,,,,,,,,
1,,103,0.5364292860031128,0.40940049290657043,0.8337517976760864,1.162940263748169,0.1534883677959442,,,,,
2,1.5947773456573486,109,,,,,,,,,,
2,1.4109382629394531,119,,,,,,,,,,
2,0.9859155416488647,129,,,,,,,,,,
2,1.3306747674942017,139,,,,,,,,,,
2,1.2048929929733276,149,,,,,,,,,,
2,,155,0.5634765625,0.42435625195503235,0.8382641673088074,1.1460553407669067,0.19069766998291016,,,,,
3,1.2056899070739746,159,,,,,,,,,,
3,1.0487946271896362,169,,,,,,,,,,
3,0.8238235712051392,179,,,,,,,,,,
3,1.0189120769500732,189,,,,,,,,,,
3,1.1049762964248657,199,,,,,,,,,,
3,,207,0.5880824327468872,0.4546070396900177,0.8460613489151001,1.116165280342102,0.20930232107639313,,,,,
4,1.0800669193267822,209,,,,,,,,,,
4,1.3045129776000977,219,,,,,,,,,,
4,1.0567066669464111,229,,,,,,,,,,
4,0.37277525663375854,239,,,,,,,,,,
4,1.0668039321899414,249,,,,,,,,,,
4,0.2312905490398407,259,,,,,,,,,,
4,,259,0.570556640625,0.44602423906326294,0.8438652753829956,1.1214252710342407,0.21395349502563477,,,,,
5,,260,,,,,,1.1214252710342407,0.8438652753829956,0.570556640625,0.21395349502563477,0.44602423906326294
