train_loss,epoch,step,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_loss,val_qa_sas,test_loss
0.8420242667198181,0,9,,,,,,
0.7837774753570557,0,19,,,,,,
0.3568449914455414,0,29,,,,,,
0.6105172634124756,0,39,,,,,,
0.527565062046051,0,49,,,,,,
0.15475629270076752,0,59,,,,,,
0.5738417506217957,0,69,,,,,,
0.2574244737625122,0,79,,,,,,
0.18876810371875763,0,89,,,,,,
0.258198082447052,0,99,,,,,,
0.15335297584533691,0,109,,,,,,
,0,118,0.37533459067344666,0.29411765933036804,0.8268479108810425,0.06703407317399979,0.3717876970767975,
0.2967560887336731,1,119,,,,,,
0.2973698675632477,1,129,,,,,,
0.15675653517246246,1,139,,,,,,
0.19213812053203583,1,149,,,,,,
0.22607490420341492,1,159,,,,,,
0.32294461131095886,1,169,,,,,,
0.21302996575832367,1,179,,,,,,
0.17865416407585144,1,189,,,,,,
0.16491837799549103,1,199,,,,,,
0.11567990481853485,1,209,,,,,,
0.24619057774543762,1,219,,,,,,
0.19829683005809784,1,229,,,,,,
,1,237,0.44963669776916504,0.37867647409439087,0.8467229008674622,0.058853261172771454,0.4233259856700897,
0.07370870560407639,2,239,,,,,,
0.12445851415395737,2,249,,,,,,
0.11954966187477112,2,259,,,,,,
0.0873984843492508,2,269,,,,,,
0.06027829647064209,2,279,,,,,,
0.12653771042823792,2,289,,,,,,
0.0917079895734787,2,299,,,,,,
0.09339410066604614,2,309,,,,,,
0.14459222555160522,2,319,,,,,,
0.09886030852794647,2,329,,,,,,
0.1443021595478058,2,339,,,,,,
0.10171515494585037,2,349,,,,,,
,2,356,0.4925818145275116,0.41911765933036804,0.8548113703727722,0.0588713176548481,0.4582466185092926,
0.09155657887458801,3,359,,,,,,
0.08323830366134644,3,369,,,,,,
0.09042399376630783,3,379,,,,,,
0.04586813971400261,3,389,,,,,,
0.07202606648206711,3,399,,,,,,
0.07607273012399673,3,409,,,,,,
0.07045942544937134,3,419,,,,,,
0.048278436064720154,3,429,,,,,,
0.07261285930871964,3,439,,,,,,
0.018160326406359673,3,449,,,,,,
0.0670158788561821,3,459,,,,,,
0.11615950614213943,3,469,,,,,,
,3,475,0.5208790302276611,0.4522058963775635,0.8623815178871155,0.06418635696172714,0.48865532875061035,
0.06482884287834167,4,479,,,,,,
0.029834706336259842,4,489,,,,,,
0.012117961421608925,4,499,,,,,,
0.016020646318793297,4,509,,,,,,
0.0681300014257431,4,519,,,,,,
0.08477924764156342,4,529,,,,,,
0.03648748621344566,4,539,,,,,,
0.04174775630235672,4,549,,,,,,
0.039847612380981445,4,559,,,,,,
0.05238429829478264,4,569,,,,,,
0.09919333457946777,4,579,,,,,,
0.0754804015159607,4,589,,,,,,
,4,594,0.5162648558616638,0.4522058963775635,0.8602368831634521,0.07052130997180939,0.4876031279563904,
,5,595,,,,,,0.07052130997180939
