step,train_loss,epoch,val_loss,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
9,1.608790636062622,0,,,,,,,,,,
19,1.067257046699524,0,,,,,,,,,,
29,0.9877261519432068,0,,,,,,,,,,
39,0.9432968497276306,0,,,,,,,,,,
41,,0,0.4768538177013397,0.2487536519765854,0.1753246784210205,0.7736242413520813,0.22815552353858948,,,,,
49,0.5859270095825195,1,,,,,,,,,,
59,0.5856400728225708,1,,,,,,,,,,
69,0.4343535900115967,1,,,,,,,,,,
79,0.4187878370285034,1,,,,,,,,,,
83,,1,0.36654332280158997,0.3601679801940918,0.29870128631591797,0.7962339520454407,0.33391112089157104,,,,,
89,0.4262702465057373,2,,,,,,,,,,
99,0.654132604598999,2,,,,,,,,,,
109,0.3775351345539093,2,,,,,,,,,,
119,0.2879320979118347,2,,,,,,,,,,
125,,2,0.3151051998138428,0.39125990867614746,0.34415584802627563,0.807417094707489,0.3707275390625,,,,,
129,0.4383629560470581,3,,,,,,,,,,
139,0.3238026201725006,3,,,,,,,,,,
149,0.2988903522491455,3,,,,,,,,,,
159,0.2478455752134323,3,,,,,,,,,,
167,,3,0.2860468327999115,0.4142133295536041,0.350649356842041,0.8243370056152344,0.3874145448207855,,,,,
169,0.44890984892845154,4,,,,,,,,,,
179,0.546398937702179,4,,,,,,,,,,
189,0.34879183769226074,4,,,,,,,,,,
199,0.430344820022583,4,,,,,,,,,,
209,0.3867112398147583,4,,,,,,,,,,
209,,4,0.2733926773071289,0.4311850368976593,0.37012988328933716,0.8288078308105469,0.40190428495407104,,,,,
210,,5,,,,,,0.37012988328933716,0.4311850368976593,0.2733926773071289,0.8288078308105469,0.40190428495407104
