epoch,train_loss,step,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,val_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em,test_loss
0,1.5091651678085327,9,,,,,,,,,,
0,1.412915587425232,19,,,,,,,,,,
0,1.2274268865585327,29,,,,,,,,,,
0,0.8807235956192017,39,,,,,,,,,,
0,,41,0.2783391773700714,0.5319347977638245,0.21604938805103302,0.3133544921875,0.7977737784385681,,,,,
1,0.5677380561828613,49,,,,,,,,,,
1,0.38840362429618835,59,,,,,,,,,,
1,0.5528519749641418,69,,,,,,,,,,
1,0.4514497220516205,79,,,,,,,,,,
1,,83,0.36628586053848267,0.36708828806877136,0.29629629850387573,0.3931441009044647,0.8330602049827576,,,,,
2,0.5742790699005127,89,,,,,,,,,,
2,0.35160234570503235,99,,,,,,,,,,
2,0.31527888774871826,109,,,,,,,,,,
2,0.49089667201042175,119,,,,,,,,,,
2,,125,0.3745962679386139,0.32540392875671387,0.31481480598449707,0.40065696835517883,0.8290988802909851,,,,,
3,0.361734539270401,129,,,,,,,,,,
3,0.3576906621456146,139,,,,,,,,,,
3,0.48470690846443176,149,,,,,,,,,,
3,0.29483452439308167,159,,,,,,,,,,
3,,167,0.3722259998321533,0.3295922577381134,0.31481480598449707,0.4005681872367859,0.8314006328582764,,,,,
4,0.44474437832832336,169,,,,,,,,,,
4,0.35552605986595154,179,,,,,,,,,,
4,0.35551151633262634,189,,,,,,,,,,
4,0.2132016122341156,199,,,,,,,,,,
4,0.31486767530441284,209,,,,,,,,,,
4,,209,0.4257291257381439,0.2906357944011688,0.37654322385787964,0.4513494372367859,0.8475258350372314,,,,,
5,,210,,,,,,0.4257291257381439,0.4513494372367859,0.8475258350372314,0.37654322385787964,0.2906357944011688
