train_loss,step,epoch,val_qa_bert_score,val_loss,val_qa_sas,val_qa_answer_f1,val_qa_em,test_loss,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_answer_f1
1.847176432609558,9,0,,,,,,,,,,
1.202523946762085,19,0,,,,,,,,,,
1.0212329626083374,29,0,,,,,,,,,,
1.1624484062194824,39,0,,,,,,,,,,
,40,0,0.7602717876434326,0.6053597331047058,0.17673562467098236,0.2012418657541275,0.11046511679887772,,,,,
0.7219494581222534,49,1,,,,,,,,,,
0.6319217681884766,59,1,,,,,,,,,,
0.42381423711776733,69,1,,,,,,,,,,
0.43127143383026123,79,1,,,,,,,,,,
,81,1,0.8052863478660583,0.4473567306995392,0.2994828522205353,0.33902496099472046,0.23255814611911774,,,,,
0.3325374722480774,89,2,,,,,,,,,,
0.43174800276756287,99,2,,,,,,,,,,
0.2770112454891205,109,2,,,,,,,,,,
0.29372742772102356,119,2,,,,,,,,,,
,122,2,0.8243680596351624,0.3873685896396637,0.3485662341117859,0.39523789286613464,0.30813953280448914,,,,,
0.3500202000141144,129,3,,,,,,,,,,
0.42322593927383423,139,3,,,,,,,,,,
0.2803725302219391,149,3,,,,,,,,,,
0.23237065970897675,159,3,,,,,,,,,,
,163,3,0.8301717638969421,0.3739393353462219,0.3580877184867859,0.41134878993034363,0.3255814015865326,,,,,
0.5761446952819824,169,4,,,,,,,,,,
0.3456731140613556,179,4,,,,,,,,,,
0.16051125526428223,189,4,,,,,,,,,,
0.24505622684955597,199,4,,,,,,,,,,
,204,4,0.8397243618965149,0.34221115708351135,0.3878284692764282,0.42977744340896606,0.36627906560897827,,,,,
,205,5,,,,,,0.34221115708351135,0.36627906560897827,0.3878284692764282,0.8397243618965149,0.42977744340896606
