epoch,train_loss,step,val_qa_em,val_qa_bert_score,val_qa_sas,val_loss,val_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score
0,3.2148525714874268,9,,,,,,,,,,
0,1.6890678405761719,19,,,,,,,,,,
0,0.9231956005096436,29,,,,,,,,,,
0,1.3772845268249512,39,,,,,,,,,,
0,1.8902194499969482,49,,,,,,,,,,
0,,49,0.39024388790130615,0.8707324266433716,0.5973358154296875,1.6976643800735474,0.5658151507377625,,,,,
1,1.3304479122161865,59,,,,,,,,,,
1,1.0795352458953857,69,,,,,,,,,,
1,1.447723388671875,79,,,,,,,,,,
1,1.951702356338501,89,,,,,,,,,,
1,2.2132790088653564,99,,,,,,,,,,
1,,99,0.45121949911117554,0.8844286799430847,0.6314239501953125,1.5513509511947632,0.6115046739578247,,,,,
2,1.4953033924102783,109,,,,,,,,,,
2,1.2095606327056885,119,,,,,,,,,,
2,0.7519518136978149,129,,,,,,,,,,
2,0.9723007082939148,139,,,,,,,,,,
2,1.0597703456878662,149,,,,,,,,,,
2,,149,0.45528456568717957,0.888413667678833,0.64801025390625,1.5063194036483765,0.6267228722572327,,,,,
3,1.8518157005310059,159,,,,,,,,,,
3,1.1622799634933472,169,,,,,,,,,,
3,1.2065801620483398,179,,,,,,,,,,
3,1.3044406175613403,189,,,,,,,,,,
3,1.966789722442627,199,,,,,,,,,,
3,,199,0.44308942556381226,0.8873319625854492,0.6494598388671875,1.4690741300582886,0.6232351660728455,,,,,
4,0.9125556349754333,209,,,,,,,,,,
4,1.6528191566467285,219,,,,,,,,,,
4,1.238909363746643,229,,,,,,,,,,
4,1.0480250120162964,239,,,,,,,,,,
4,1.090222954750061,249,,,,,,,,,,
4,,249,0.49593496322631836,0.8937186598777771,0.6645050048828125,1.4602000713348389,0.6406566500663757,,,,,
5,,250,,,,,,1.4602000713348389,0.49593496322631836,0.6406566500663757,0.6645050048828125,0.8937186598777771
