epoch,train_loss,step,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_qa_em,val_loss,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas
0,2.0181500911712646,9,,,,,,,,,,
0,2.4179811477661133,19,,,,,,,,,,
0,1.6344071626663208,29,,,,,,,,,,
0,1.5155913829803467,39,,,,,,,,,,
0,1.2185078859329224,49,,,,,,,,,,
0,,51,0.47130870819091797,0.8442774415016174,0.5191539525985718,0.2931034564971924,1.6421959400177002,,,,,
1,2.121778726577759,59,,,,,,,,,,
1,1.94632089138031,69,,,,,,,,,,
1,1.3523750305175781,79,,,,,,,,,,
1,1.6191214323043823,89,,,,,,,,,,
1,1.2999060153961182,99,,,,,,,,,,
1,,103,0.5058325529098511,0.8595853447914124,0.554443359375,0.32758620381355286,1.455602765083313,,,,,
2,1.3024002313613892,109,,,,,,,,,,
2,0.8451134562492371,119,,,,,,,,,,
2,2.511425018310547,129,,,,,,,,,,
2,1.1428052186965942,139,,,,,,,,,,
2,1.6623198986053467,149,,,,,,,,,,
2,,155,0.535224974155426,0.8689250946044922,0.5830299854278564,0.36781609058380127,1.3864202499389648,,,,,
3,0.9752826690673828,159,,,,,,,,,,
3,0.7806419730186462,169,,,,,,,,,,
3,0.3485613763332367,179,,,,,,,,,,
3,1.2236157655715942,189,,,,,,,,,,
3,1.7443031072616577,199,,,,,,,,,,
3,,207,0.5626195669174194,0.8765809535980225,0.6067782044410706,0.40229883790016174,1.328598141670227,,,,,
4,0.8375744223594666,209,,,,,,,,,,
4,0.7385139465332031,219,,,,,,,,,,
4,0.8995553255081177,229,,,,,,,,,,
4,0.9408446550369263,239,,,,,,,,,,
4,0.8225182294845581,249,,,,,,,,,,
4,2.968994140625,259,,,,,,,,,,
4,,259,0.5559966564178467,0.8754775524139404,0.6061345934867859,0.3965517282485962,1.297744631767273,,,,,
5,,260,,,,,,0.5626195669174194,1.328598141670227,0.8765809535980225,0.40229883790016174,0.6067782044410706
