train_loss,epoch,step,val_qa_sas,val_qa_bert_score,val_loss,val_qa_em,val_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em,test_loss
1.3705002069473267,0,9,,,,,,,,,,
1.1823413372039795,0,19,,,,,,,,,,
0.8405551314353943,0,29,,,,,,,,,,
0.8549095392227173,0,39,,,,,,,,,,
0.44260045886039734,0,49,,,,,,,,,,
0.7083987593650818,0,59,,,,,,,,,,
,0,61,0.2507499158382416,0.7952673435211182,0.5091028809547424,0.19491524994373322,0.2694205939769745,,,,,
0.5024563074111938,1,69,,,,,,,,,,
0.4653725326061249,1,79,,,,,,,,,,
0.3872966170310974,1,89,,,,,,,,,,
0.5300747752189636,1,99,,,,,,,,,,
0.4352850615978241,1,109,,,,,,,,,,
0.5811124444007874,1,119,,,,,,,,,,
,1,123,0.30401745438575745,0.8104762434959412,0.4189995229244232,0.25847458839416504,0.3202194571495056,,,,,
0.38722866773605347,2,129,,,,,,,,,,
0.5895605087280273,2,139,,,,,,,,,,
0.28608381748199463,2,149,,,,,,,,,,
0.3186826705932617,2,159,,,,,,,,,,
0.41939929127693176,2,169,,,,,,,,,,
0.3184346556663513,2,179,,,,,,,,,,
,2,185,0.31967830657958984,0.8163935542106628,0.3714202344417572,0.27542373538017273,0.34078988432884216,,,,,
0.397862046957016,3,189,,,,,,,,,,
0.4035953879356384,3,199,,,,,,,,,,
0.3345552086830139,3,209,,,,,,,,,,
0.37083882093429565,3,219,,,,,,,,,,
0.3953074514865875,3,229,,,,,,,,,,
0.3860039710998535,3,239,,,,,,,,,,
,3,247,0.3633060157299042,0.8327748775482178,0.3630417585372925,0.31779661774635315,0.39225050806999207,,,,,
0.3789188861846924,4,249,,,,,,,,,,
0.3546988368034363,4,259,,,,,,,,,,
0.37032005190849304,4,269,,,,,,,,,,
0.16308584809303284,4,279,,,,,,,,,,
0.2165091186761856,4,289,,,,,,,,,,
0.14956927299499512,4,299,,,,,,,,,,
0.31817391514778137,4,309,,,,,,,,,,
,4,309,0.38756901025772095,0.8403695225715637,0.3348701596260071,0.33898305892944336,0.4086598753929138,,,,,
,5,310,,,,,,0.8403695225715637,0.4086598753929138,0.38756901025772095,0.33898305892944336,0.3348701596260071
