epoch,train_loss,step,val_qa_answer_f1,val_qa_em,val_loss,val_qa_bert_score,val_qa_sas,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_sas,test_loss
0,0.7550564408302307,9,,,,,,,,,,
0,0.9283577799797058,19,,,,,,,,,,
0,0.6374077796936035,29,,,,,,,,,,
0,1.0288798809051514,39,,,,,,,,,,
0,,40,0.3156996965408325,0.25555557012557983,0.5522448420524597,0.7986682057380676,0.2984822690486908,,,,,
1,0.771788477897644,49,,,,,,,,,,
1,0.5253649950027466,59,,,,,,,,,,
1,0.8233299255371094,69,,,,,,,,,,
1,0.43565991520881653,79,,,,,,,,,,
1,,81,0.3417559862136841,0.28333333134651184,0.444022536277771,0.8050257563591003,0.3101043701171875,,,,,
2,0.336988627910614,89,,,,,,,,,,
2,0.5849162936210632,99,,,,,,,,,,
2,0.47092095017433167,109,,,,,,,,,,
2,0.5530813932418823,119,,,,,,,,,,
2,,122,0.3660185933113098,0.3055555522441864,0.39960652589797974,0.8195269107818604,0.3487345278263092,,,,,
3,0.37082627415657043,129,,,,,,,,,,
3,0.45911896228790283,139,,,,,,,,,,
3,0.3439086079597473,149,,,,,,,,,,
3,0.4460093677043915,159,,,,,,,,,,
3,,163,0.40187421441078186,0.3333333432674408,0.371614933013916,0.8284737467765808,0.3788299560546875,,,,,
4,0.4907972812652588,169,,,,,,,,,,
4,0.4174777865409851,179,,,,,,,,,,
4,0.3704586923122406,189,,,,,,,,,,
4,0.43123579025268555,199,,,,,,,,,,
4,,204,0.43384450674057007,0.3722222149372101,0.3258823752403259,0.8403323292732239,0.4221293032169342,,,,,
5,,205,,,,,,0.8403323292732239,0.43384450674057007,0.3722222149372101,0.4221293032169342,0.3258823752403259
